,C,Vavg[1],Tavg[1],Time
258.13,0,33273.55,23.45,8:57:34 PM
259.05,0,33273.55,23.45,8:57:35 PM
260.14,0,33273.7,23.45,8:57:36 PM
261.28,0,33273.7,23.45,8:57:37 PM
262.17,0,33274,23.45,8:57:38 PM
263.07,0,33274,23.45,8:57:39 PM
264.18,0,33273.3,23.45,8:57:40 PM
265.32,0,33273.3,23.45,8:57:41 PM
266.19,0,33272.95,23.45,8:57:42 PM
267.09,0,33272.95,23.45,8:57:43 PM
268.2,0,33272.7,23.45,8:57:44 PM
269.37,0,33272.7,23.4,8:57:45 PM
270.22,0,33272.95,23.4,8:57:46 PM
271.11,0,33272.95,23.4,8:57:47 PM
272.23,0,33272.7,23.4,8:57:48 PM
273.41,0,33272.7,23.4,8:57:49 PM
274.24,0,33273.45,23.4,8:57:50 PM
275.13,0,33273.45,23.4,8:57:51 PM
276.25,0,33273.85,23.4,8:57:52 PM
277.42,0,33273.85,23.4,8:57:53 PM
278.26,0,33274.45,23.4,8:57:54 PM
279.14,0,33274.45,23.4,8:57:55 PM
280.28,0,33273.8,23.4,8:57:56 PM
281.44,0,33273.8,23.4,8:57:57 PM
282.29,0,33273.75,23.4,8:57:58 PM
283.17,0,33273.75,23.4,8:57:59 PM
284.3,0,33273.3,23.4,8:58:00 PM
285.45,0,33273.3,23.4,8:58:01 PM
286.31,0,33273.9,23.4,8:58:02 PM
287.22,0,33273.9,23.4,8:58:03 PM
288.32,0,33273.9,23.4,8:58:04 PM
289.45,0,33273.9,23.45,8:58:05 PM
290.32,0,33273.85,23.45,8:58:06 PM
291.29,0,33273.85,23.45,8:58:07 PM
292.33,0,33273.8,23.45,8:58:08 PM
293.46,0,33273.8,23.45,8:58:09 PM
294.35,0,33273.7,23.45,8:58:10 PM
295.31,0,33273.7,23.45,8:58:11 PM
296.37,0,33273.6,23.45,8:58:12 PM
297.47,0,33273.6,23.45,8:58:13 PM
298.37,0,33273.4,23.45,8:58:14 PM
299.33,0,33273.4,23.45,8:58:15 PM
300.38,0,33273.5,23.45,8:58:16 PM
302.39,0,33269.45,23.45,8:58:18 PM
302.43,2.45,33269.45,23.45,8:58:18 PM
304.4,0.54,33267.75,23.45,8:58:20 PM
304.44,0.77,33267.75,23.45,8:58:20 PM
306.41,0.66,33265.45,23.4,8:58:22 PM
306.45,0.74,33265.45,23.4,8:58:22 PM
308.42,0,33264,23.4,8:58:24 PM
308.46,0.72,33264,23.4,8:58:24 PM
310.43,0,33267.35,23.5,8:58:26 PM
310.47,0,33267.35,23.5,8:58:26 PM
312.44,0,33268.4,23.5,8:58:28 PM
312.5,0,33268.4,23.5,8:58:29 PM
314.47,0,33270.45,23.45,8:58:30 PM
314.54,0,33270.45,23.45,8:58:31 PM
316.47,0.68,33270.85,23.45,8:58:32 PM
316.56,0.01,33270.85,23.45,8:58:33 PM
318.48,0,33271.5,23.55,8:58:34 PM
318.57,0,33271.5,23.55,8:58:35 PM
320.49,0.89,33268.95,23.55,8:58:36 PM
320.57,0.02,33268.95,23.55,8:58:37 PM
322.49,0.75,33266.8,23.4,8:58:38 PM
322.59,0,33266.8,23.4,8:58:39 PM
324.5,0,33266.7,23.4,8:58:41 PM
325.6,0.56,33266.7,22.7,8:58:42 PM
326.51,0,33266.6,22.7,8:58:43 PM
326.67,0,33266.6,22.7,8:58:43 PM
328.51,0,33267.8,22.7,8:58:45 PM
329.61,0,33267.8,23.05,8:58:46 PM
330.52,0.29,33268.95,23.05,8:58:47 PM
330.68,0.37,33268.95,23.05,8:58:47 PM
332.52,0,33269.8,23.05,8:58:49 PM
333.62,0,33269.8,23.55,8:58:50 PM
334.53,0,33269.95,23.55,8:58:51 PM
334.74,0,33269.95,23.55,8:58:51 PM
336.54,0,33269.75,23.55,8:58:53 PM
337.64,0,33269.75,23.45,8:58:54 PM
338.54,0,33271.3,23.45,8:58:55 PM
338.76,0,33271.3,23.45,8:58:55 PM
340.54,0,33269.85,23.45,8:58:57 PM
341.64,0,33269.85,23.45,8:58:58 PM
342.55,0,33269.4,23.45,8:58:59 PM
342.77,0,33269.4,23.45,8:58:59 PM
344.56,0,33269.2,23.45,8:59:01 PM
345.66,0,33269.2,23.45,8:59:02 PM
346.58,0.72,33268.6,23.45,8:59:03 PM
346.79,0.93,33268.6,23.45,8:59:03 PM
348.65,0,33266.1,23.45,8:59:05 PM
349.66,0.96,33266.1,22.95,8:59:06 PM
350.66,4.91,33253.2,22.95,8:59:07 PM
350.8,0.72,33253.2,22.95,8:59:07 PM
352.69,0.64,33251.1,22.95,8:59:09 PM
353.67,0.5,33251.1,21.75,8:59:10 PM
354.71,0.45,33251.7,21.75,8:59:11 PM
354.85,0,33251.7,21.75,8:59:11 PM
356.71,0,33261.85,21.75,8:59:13 PM
357.68,0,33261.85,22.05,8:59:14 PM
358.72,0,33266.1,22.05,8:59:15 PM
358.87,0,33266.1,22.05,8:59:15 PM
360.75,0,33268.05,22.05,8:59:17 PM
361.68,0,33268.05,23.2,8:59:18 PM
362.77,0,33268.9,23.2,8:59:19 PM
362.88,0,33268.9,23.2,8:59:19 PM
364.8,0,33269.7,23.2,8:59:21 PM
365.69,0,33269.7,23.45,8:59:22 PM
366.81,0,33269.7,23.45,8:59:23 PM
366.89,0,33269.7,23.45,8:59:23 PM
368.89,0,33269.7,23.45,8:59:25 PM
369.7,0,33269.7,23.4,8:59:26 PM
370.9,0,33269.9,23.4,8:59:27 PM
370.95,0,33269.9,23.4,8:59:27 PM
372.91,0.21,33270,23.4,8:59:29 PM
373.71,0,33270,23,8:59:30 PM
374.95,0,33270.35,23,8:59:31 PM
374.97,2.05,33270.35,23,8:59:31 PM
377.01,4.12,33260.4,23,8:59:33 PM
377.73,3,33260.4,22.8,8:59:34 PM
379.02,3.88,33246.5,22.8,8:59:35 PM
379.04,4.44,33246.5,22.8,8:59:35 PM
381.02,5.48,33233.3,22.8,8:59:37 PM
381.78,6.65,33233.3,22.35,8:59:38 PM
383.05,7.1,33213.25,22.35,8:59:39 PM
383.08,7.6,33213.25,22.35,8:59:39 PM
385.06,7.76,33192.15,22.35,8:59:41 PM
385.79,7.77,33192.15,22.5,8:59:42 PM
387.07,8.07,33176.45,22.5,8:59:43 PM
387.11,7.65,33176.45,22.5,8:59:43 PM
389.1,4.38,33165.65,22.5,8:59:45 PM
389.8,4.74,33165.65,22.75,8:59:46 PM
391.15,4.93,33165,22.75,8:59:47 PM
391.17,6.34,33165,22.75,8:59:47 PM
393.15,7.57,33166,22.75,8:59:49 PM
393.81,6.91,33166,23.05,8:59:50 PM
395.17,4.24,33166.75,23.05,8:59:51 PM
395.18,0,33166.75,23.05,8:59:51 PM
397.17,0,33184.3,23.05,8:59:53 PM
397.81,4.91,33184.3,23.85,8:59:54 PM
399.18,7,33179.65,23.85,8:59:55 PM
399.2,0,33179.65,23.85,8:59:55 PM
401.19,5.04,33185.4,23.85,8:59:57 PM
401.82,5.35,33185.4,23.55,8:59:58 PM
403.19,0,33196.05,23.55,8:59:59 PM
403.21,0,33196.05,23.55,8:59:59 PM
405.2,0,33201.95,23.55,9:00:01 PM
405.83,0,33201.95,23.6,9:00:02 PM
406.23,-0.25,33201.95,23.6,9:00:02 PM
407.24,0,33225.35,23.6,9:00:03 PM
408.24,0,33225.35,23.6,9:00:04 PM
409.84,-2.74,33236.85,23.65,9:00:06 PM
411.26,-2.3,33246.35,23.65,9:00:07 PM
411.26,-0.1,33246.35,23.65,9:00:07 PM
412.27,0,33246.35,23.65,9:00:08 PM
413.84,0,33248.05,23.6,9:00:10 PM
414.28,0,33248.05,23.6,9:00:10 PM
415.3,0,33250.75,23.6,9:00:11 PM
416.28,0,33250.75,23.6,9:00:12 PM
417.85,0,33246.75,23.55,9:00:14 PM
418.29,0,33246.75,23.55,9:00:14 PM
419.31,0,33247.6,23.55,9:00:15 PM
420.3,0,33247.6,23.55,9:00:16 PM
421.85,0,33247,23.4,9:00:18 PM
422.31,0,33247,23.4,9:00:18 PM
423.32,0,33248.25,23.4,9:00:19 PM
424.32,0,33248.25,23.4,9:00:20 PM
425.87,0,33249.15,23.35,9:00:22 PM
426.33,0,33249.15,23.35,9:00:22 PM
427.34,0,33249.75,23.35,9:00:23 PM
428.34,0,33249.75,23.35,9:00:24 PM
429.88,0,33250.6,23.4,9:00:26 PM
430.35,0,33250.6,23.4,9:00:26 PM
431.35,0,33251.45,23.4,9:00:27 PM
433.36,4.21,33249.65,23.4,9:00:29 PM
433.89,8.69,33249.65,22.9,9:00:30 PM
435.37,0.6,33234.5,22.9,9:00:31 PM
435.57,3.87,33234.5,22.9,9:00:32 PM
437.38,12.95,33224.4,22.9,9:00:33 PM
437.9,14.11,33224.4,23.45,9:00:34 PM
439.38,12.51,33161.8,23.45,9:00:35 PM
439.6,13.65,33161.8,23.45,9:00:36 PM
441.42,5.55,33137.95,23.45,9:00:37 PM
441.9,2.63,33137.95,22.95,9:00:38 PM
443.42,0,33136.45,22.95,9:00:39 PM
443.76,0,33136.45,22.95,9:00:40 PM
445.43,12.49,33156.9,22.95,9:00:41 PM
445.91,18.67,33156.9,22.45,9:00:42 PM
447.43,19.96,33140.7,22.45,9:00:43 PM
447.84,22.83,33140.7,22.45,9:00:44 PM
449.44,25.77,33103.95,22.45,9:00:45 PM
449.92,10.73,33103.95,22.3,9:00:46 PM
451.46,8.25,33051.45,22.3,9:00:47 PM
451.87,6.37,33051.45,22.3,9:00:48 PM
453.47,5.48,33041.65,22.3,9:00:49 PM
453.95,4.73,33041.65,22.25,9:00:50 PM
455.48,4.04,33095.3,22.25,9:00:51 PM
455.89,5.5,33095.3,22.25,9:00:52 PM
457.49,5.29,33126.6,22.25,9:00:53 PM
457.98,4.75,33126.6,22.55,9:00:54 PM
459.49,4.6,33139.05,22.55,9:00:55 PM
459.94,7.08,33139.05,22.55,9:00:56 PM
461.99,7.15,33136.65,22.45,9:00:58 PM
462.03,6.39,33136.65,22.45,9:00:58 PM
463.63,6.15,33128.35,22.45,9:01:00 PM
464.04,5.92,33128.35,22.45,9:01:00 PM
466,5.75,33122.65,23.6,9:01:02 PM
466.04,5.53,33122.65,23.6,9:01:02 PM
467.65,5.7,33120.6,23.6,9:01:04 PM
468.05,5.53,33120.6,23.6,9:01:04 PM
470.01,5.01,33123.6,23.85,9:01:06 PM
470.07,4.61,33123.6,23.85,9:01:06 PM
471.69,8.24,33126.05,23.85,9:01:08 PM
472.08,0,33126.05,23.85,9:01:08 PM
474.02,0,33150.9,23.3,9:01:10 PM
474.09,0,33150.9,23.3,9:01:10 PM
475.7,-8.07,33176.9,23.3,9:01:12 PM
476.1,-5.62,33176.9,23.3,9:01:12 PM
478.03,-2.94,33208.45,23.3,9:01:14 PM
478.11,0,33208.45,23.3,9:01:14 PM
479.75,-0.98,33244.05,23.3,9:01:16 PM
480.12,-0.94,33244.05,23.3,9:01:16 PM
482.03,0,33249.8,23.55,9:01:18 PM
482.12,-8.07,33249.8,23.55,9:01:18 PM
483.81,-6.72,33256.55,23.55,9:01:20 PM
484.13,-6.19,33256.55,23.55,9:01:20 PM
486.04,-6.07,33270.2,23.3,9:01:22 PM
486.14,-7.34,33270.2,23.3,9:01:22 PM
487.85,-5.29,33301.95,23.3,9:01:24 PM
488.15,-5.02,33301.95,23.3,9:01:24 PM
490.16,-4.93,33315.8,23.3,9:01:26 PM
490.18,-4.45,33315.8,23.35,9:01:26 PM
491.23,-0.74,33315.8,23.35,9:01:27 PM
492.26,0.16,33306.85,23.35,9:01:28 PM
493.24,0,33306.85,23.35,9:01:29 PM
494.27,0,33283.9,23.5,9:01:30 PM
495.25,0,33283.9,23.5,9:01:31 PM
496.33,0,33264.35,23.5,9:01:32 PM
497.3,0,33264.35,23.5,9:01:33 PM
498.34,0,33259.25,23.2,9:01:34 PM
499.31,0,33259.25,23.2,9:01:35 PM
500.41,0,33259.1,23.2,9:01:36 PM
502.31,0,33259.1,23.25,9:01:38 PM
502.42,0,33259.25,23.25,9:01:38 PM
503.34,0,33259.25,23.25,9:01:39 PM
504.43,0,33258.55,23.25,9:01:40 PM
506.33,0,33258.55,23.45,9:01:42 PM
506.45,0,33259.1,23.45,9:01:42 PM
507.37,0,33259.1,23.45,9:01:43 PM
508.51,0,33259.4,23.45,9:01:45 PM
510.35,0,33259.4,23.45,9:01:46 PM
510.51,0,33260.15,23.45,9:01:47 PM
511.39,0,33260.15,23.45,9:01:47 PM
512.52,0,33260.4,23.45,9:01:49 PM
514.35,0,33260.4,23.4,9:01:50 PM
514.53,0,33260.85,23.4,9:01:51 PM
515.43,0.02,33260.85,23.4,9:01:51 PM
516.55,8.16,33252.7,23.4,9:01:53 PM
518.36,11.1,33252.7,23.55,9:01:54 PM
518.65,13.01,33221.75,23.55,9:01:55 PM
519.44,14.26,33221.75,23.55,9:01:55 PM
520.71,17.34,33181.95,23.55,9:01:57 PM
522.38,19.83,33181.95,23.05,9:01:58 PM
522.71,16.79,33091.8,23.05,9:01:59 PM
523.47,16.8,33091.8,23.05,9:01:59 PM
524.72,18.51,33035.55,23.05,9:02:01 PM
526.39,18.01,33035.55,23.4,9:02:02 PM
526.73,6.95,33016.9,23.4,9:02:03 PM
527.49,18.63,33016.9,23.4,9:02:03 PM
528.74,9.1,33011.75,23.4,9:02:05 PM
530.4,16.34,33011.75,22.3,9:02:06 PM
530.74,14.42,33016.3,22.3,9:02:07 PM
531.5,13.89,33016.3,22.3,9:02:08 PM
532.75,11.76,33022.75,22.3,9:02:09 PM
534.4,12.36,33022.75,22.15,9:02:10 PM
534.76,14.29,33023.85,22.15,9:02:11 PM
535.53,14.13,33023.85,22.15,9:02:12 PM
536.76,12.83,33022.25,22.15,9:02:13 PM
538.41,12.59,33022.25,21.5,9:02:14 PM
538.77,12.98,33018.15,21.5,9:02:15 PM
539.55,13.15,33018.15,21.5,9:02:16 PM
540.78,13.94,33017.25,21.5,9:02:17 PM
542.42,11.8,33017.25,21.55,9:02:18 PM
542.79,10.34,33018.7,21.55,9:02:19 PM
543.57,0.89,33018.7,21.55,9:02:20 PM
544.8,0.75,33061.9,21.55,9:02:21 PM
546.43,5.66,33061.9,22.3,9:02:22 PM
546.8,20.23,33077.05,22.3,9:02:23 PM
547.6,22.09,33077.05,22.3,9:02:24 PM
548.81,28.08,33041.75,22.3,9:02:25 PM
550.44,29.07,33041.75,22.3,9:02:26 PM
550.82,30.38,32991.15,22.3,9:02:27 PM
551.73,32.81,32991.15,22.3,9:02:28 PM
552.82,34.35,32946.4,22.3,9:02:29 PM
554.44,35.45,32946.4,22.4,9:02:30 PM
554.87,28.34,32918.6,22.4,9:02:31 PM
555.86,25.39,32918.6,22.4,9:02:32 PM
556.88,23.54,32827.05,22.4,9:02:33 PM
558.45,16.58,32827.05,21.9,9:02:34 PM
558.89,7.27,32820.8,21.9,9:02:35 PM
560.9,12.3,32833.55,21.9,9:02:37 PM
560.91,16.27,32833.55,21.9,9:02:37 PM
562.91,16.77,32863.95,22.15,9:02:39 PM
562.94,23.46,32863.95,22.15,9:02:39 PM
564.92,31.58,32891.8,22.15,9:02:41 PM
564.94,32.63,32891.8,22.15,9:02:41 PM
566.92,34.37,32861.55,22.2,9:02:43 PM
566.95,38.03,32861.55,22.2,9:02:43 PM
568.95,39.16,32808.45,22.2,9:02:45 PM
568.97,39.87,32808.45,22.2,9:02:45 PM
571.03,38.78,32740.3,22.2,9:02:47 PM
571.03,38.83,32740.3,22.2,9:02:47 PM
572.04,25.45,32740.3,22.2,9:02:48 PM
573.04,27.66,32688.75,22.2,9:02:49 PM
